2026-03-14 11:55:10,26-39,Male,Bachelor,67700.0,520,Sedan,11,13269,Commercial,0,0,0,1616.26,1
2026-03-14 11:55:10,65+,Female,Bachelor,56400.0,341,Pickup,8,15007,Private,0,0,1,1852.46,1
2026-03-14 11:55:13,65+,Female,Associate,44300.0,448,Sedan,18,4094,Private,0,0,1,1600.24,1
2026-03-14 11:55:13,16-25,Male,Associate,33600.0,348,Sedan,15,17307,Private,1,0,1,1885.07,1
2026-03-14 11:55:16,65+,Female,Master,63300.0,585,SUV,12,19446,Private,1,0,1,1823.69,1
2026-03-14 11:55:16,26-39,Male,Associate,48800.0,470,SUV,19,13650,Private,1,0,1,1987.88,0
2026-03-14 11:55:19,26-39,Female,High School,19300.0,348,Pickup,19,17478,Private,3,0,2,2439.45,1
2026-03-14 11:55:19,40-64,Female,Master,59700.0,475,Sedan,11,8476,Private,1,0,1,1394.24,1
2026-03-14 11:55:22,40-64,Female,Master,58400.0,425,Truck,6,7813,Private,3,0,1,2186.08,0
2026-03-14 11:55:22,40-64,Male,Bachelor,82300.0,560,Bus,19,6411,Private,2,0,0,2847.37,1
2026-03-14 11:55:25,26-39,Female,Associate,29200.0,391,Truck,4,17098,Commercial,0,0,2,2749.2,1
2026-03-14 11:55:25,26-39,Male,Associate,51700.0,434,SUV,0,19417,Private,1,0,0,1665.47,1
2026-03-14 11:55:28,26-39,Female,High School,21300.0,338,Sedan,3,11843,Private,0,0,2,1658.64,0
2026-03-14 11:55:28,26-39,Female,Associate,38200.0,316,Pickup,8,15866,Commercial,0,0,1,2242.49,1
2026-03-14 11:55:31,26-39,Male,High School,24500.0,331,Sedan,3,13526,Commercial,3,0,0,2264.1,1
2026-03-14 11:55:31,16-25,Male,Bachelor,74100.0,526,Sedan,15,17450,Private,2,0,0,1612.55,1
2026-03-14 11:55:34,26-39,Male,Associate,32600.0,345,Sedan,12,15927,Commercial,0,0,0,1810.2,0
2026-03-14 11:55:34,26-39,Male,High School,30300.0,436,Sedan,10,10216,Private,3,0,0,1467.6,0
2026-03-14 11:55:37,40-64,Male,Master,84900.0,628,SUV,14,3629,Private,0,0,0,1256.85,0
2026-03-14 11:55:37,65+,Male,Bachelor,58200.0,469,SUV,8,14500,Private,0,0,0,1834.13,1
2026-03-14 11:55:40,16-25,Male,Master,85600.0,579,Sedan,4,16014,Commercial,3,1,2,2970.87,1
2026-03-14 11:55:40,26-39,Female,High School,39700.0,458,Sedan,4,7112,Commercial,5,1,1,2778.54,1
2026-03-14 11:55:43,40-64,Male,Bachelor,51300.0,456,Pickup,9,10707,Commercial,0,0,1,2132.88,1
2026-03-14 11:55:43,65+,Female,Master,112000.0,632,Truck,13,9530,Private,0,0,0,1632.31,0
2026-03-14 11:55:46,26-39,Female,PhD,142500.0,792,Truck,0,15829,Private,2,0,1,1827.89,0
2026-03-14 11:55:46,40-64,Male,Master,81000.0,578,Truck,16,24232,Private,0,0,0,1599.43,0
2026-03-14 11:55:49,40-64,Male,High School,22400.0,412,Sedan,16,4615,Private,0,0,0,1218.41,0
2026-03-14 11:55:49,65+,Female,Bachelor,49900.0,408,Pickup,6,8136,Private,0,0,0,1738.19,1
2026-03-14 11:55:52,65+,Female,High School,39300.0,392,Pickup,19,9181,Private,0,0,2,2079.25,1
2026-03-14 11:55:52,40-64,Female,Bachelor,81900.0,549,Sedan,5,7078,Private,0,0,1,1233.3,0
2026-03-14 11:55:55,65+,Male,Associate,58600.0,549,Pickup,18,12467,Commercial,1,0,0,2288.06,1
2026-03-14 11:55:55,40-64,Female,Master,97300.0,648,SUV,10,10980,Private,1,0,1,1409.39,0
2026-03-14 11:55:58,40-64,Male,Associate,56400.0,579,Sedan,17,8233,Private,0,0,0,1110.38,0
2026-03-14 11:55:58,26-39,Female,Master,106800.0,678,Truck,3,11039,Commercial,2,0,1,2690.05,1
2026-03-14 11:56:01,16-25,Female,Bachelor,72400.0,601,Truck,8,15495,Commercial,1,0,0,2630.18,0
2026-03-14 11:56:01,26-39,Female,High School,41900.0,454,Bus,10,9193,Private,2,0,4,3626.29,1
2026-03-14 11:56:04,40-64,Male,PhD,176300.0,798,Pickup,17,10094,Private,1,0,2,1598.82,0
2026-03-14 11:56:04,26-39,Male,High School,23500.0,401,Truck,17,15831,Private,0,0,2,2139.37,1
